Coutry,Currency,Conversion
Afghanistan,AFN,76.8135
Albania,ALL,111.69
Algeria,DZD,143.568
Angola,AOA,461.655
Anguilla,XCD,2.7
Antigua and Barbuda,XCD,2.7
Argentina,ARS,113.3345
Armenia,AMD,470.994
Aruba,AWG,1.79
Australia,AUD,1.35573
Austria,EUR,0.9245
Azerbaijan,AZN,1.7
Bahamas,BSD,1
Bahrain,BHD,0.376
Bangladesh,BDT,86.2298
Barbados,BBD,2
Belarus,BYN,2.6534
Belgium,EUR,0.9245
Belize,BZD,2
Benin,XOF,606.316
Bhutan,BTN,76.1818
Bolivia,BOB,6.91
Bosnia and Herzegovina,BAM,1.8022
Botswana,BWP,11.7009
Brazil,BRL,4.74707
Brunei,BND,1.3662
Bulgaria,BGN,1.80814
Burkina Faso,XOF,606.316
Burundi,BIF,2013.31
Cambodia,KHR,4069.88
Cameroon,XAF,606.316
Canada,CAD,1.26207
Cape Verde,CVE,100.035
Cayman Islands,KYD,0.833
Central African Republic,XAF,606.316
Chad,XAF,606.316
Chile,CLP,815.123
China,CNY,6.43484
Chinese Taipei,TWD,29.0933
Colombia,COP,3792.98
Comoros,KMF,454.737
Congo,XAF,606.316
Congo Democratic Republic,CDF,1999.91
Costa Rica,CRC,658.628
Cote d'Ivoire,XOF,606.316
Croatia,HRK,6.98716
Cyprus,EUR,0.9245
Czech Republic,CZK,22.5911
Denmark,DKK,6.87746
Djibouti,DJF,177.721
Dominica,XCD,2.7
Dominican Republic,DOP,55.1191
Egypt,EGP,15.6609
El Salvador,SVC,8.75
Equatorial Guinea,XAF,606.316
Eritrea,ERN,15.075
Estonia,EUR,0.9245
Eswatini,SZL,15.0442
Ethiopia,ETB,34.9272
Euro area,EUR,0.9245
Fiji,FJD,2.1231
Finland,EUR,0.9245
France,EUR,0.9245
Gabon,XAF,606.316
Gambia,GMD,52.7676
Georgia,GEL,3.0663
Germany,EUR,0.9245
Ghana,GHS,7.0465
Greece,EUR,0.9245
Grenada,XCD,2.7
Guatemala,GTQ,7.66087
Guinea,GNF,9565.08
Guinea-Bissau,XOF,582.075
Guyana,GYD,208.5
Haiti,HTG,102.0828
Honduras,HNL,24.3373
Hong Kong SAR,HKD,7.84093
Hungary,HUF,346.586
Iceland,ISK,129.364
India,INR,76.1712
Indonesia,IDR,14389.2
Iran,IRR,42000
Iraq,IQD,1450
Ireland,EUR,0.9245
Israel,ILS,3.24551
Italy,EUR,0.9245
Jamaica,JMD,150.336
Japan,JPY,126.297
Jordan,JOD,0.71
Kazakhstan,KZT,453.32
Kenya,KES,114.316
Kiribati,AUD,1.35181
Korea,KRW,1236.58
Kuwait,KWD,0.305312
Kyrgyz Republic,KGS,84.0952
Laos,LAK,11390.36
Latvia,EUR,0.9245
Lebanon,LBP,1507.5
Lesotho,LSL,15.0442
Liberia,LRD,171.87432
Libya,LYD,1.39826
Lithuania,EUR,0.9245
Luxembourg,EUR,0.9245
Macao SAR,MOP,8.07656
Madagascar,MGA,3987.07
Malawi,MWK,818.15
Malaysia,MYR,4.27177
Maldives,MVR,15.387
Mali,XOF,606.316
Malta,EUR,0.9245
Mauritania,MRO,371.892
Mauritius,MUR,43.6607
Mexico,MXN,20.0793
Micronesia,USD,1
Moldova,MDL,18.3739
Mongolia,MNT,2901.83
Montenegro,EUR,0.924322
Montserrat,XCD,2.7
Morocco,MAD,9.7344
Mozambique,MZN,63.83
Myanmar,MMK,1381.62
Namibia,NAD,15.0354
Nepal,NPR,119.482
Netherlands,EUR,0.9245
Netherlands Antilles,ANG,1.79
New Zealand,NZD,1.47732
Nicaragua,NIO,35.4334
Niger,XOF,606.316
Nigeria,NGN,410.7
North Macedonia,MKD,56.8089
Norway,NOK,8.89396
Oman,OMR,0.3845
Pakistan,PKR,184.846
Panama,PAB,1
Papua New Guinea,PGK,3.50877
Paraguay,PYG,6962.94
Peru,PEN,3.73974
Philippines,PHP,52.0094
Poland,PLN,4.29777
Portugal,EUR,0.9245
Qatar,QAR,3.64
Romania,RON,4.57089
Russia,RUB,77.8992
Rwanda,RWF,1018.595
Samoa,WST,2.60114
San Marino,EUR,0.924322
Sao Tome and Principe,STD,21507.1
Saudi Arabia,SAR,3.75
Senegal,XOF,606.316
Serbia,RSD,108.751
Seychelles,SCR,14.3306
Sierra Leone,SLL,12239.91
Singapore,SGD,1.36585
Slovakia,EUR,0.9245
Slovenia,EUR,0.9245
Solomon Islands,SBD,8.05298
South Africa,ZAR,15.0538
South Sudan,SDG,412.167
Spain,EUR,0.9245
Sri Lanka,LKR,320.327
St. Lucia,XCD,2.7
St. Vincent and the Grenadines,XCD,2.7
St.Kitts - Nevis,XCD,2.7
Sudan,SDG,53.99601
Suriname,SRD,21.48209
Sweden,SEK,9.53877
Switzerland,CHF,0.94401
Syria,SYP,2512.53
Tajikistan,TJS,12.5426
Tanzania,TZS,2298.45
Thailand,THB,33.7963
Togo,XOF,606.316
Tonga,TOP,2.26463
Trinidad and Tobago,TTD,6.75504
Tunisia,TND,3.0272
Turkey,TRY,14.72599
Turkmenistan,TMT,3.5
Uganda,UGX,3541.46
Ukraine,UAH,29.2549
United Arab Emirates,AED,3.6725
United Kingdom,GBP,0.773415
United States,USD,1
Uruguay,UYU,41.149
Uzbekistan,UZS,11179.8
Vanuatu,VUV,110.733
Venezuela,VEF,9.975
Vietnam,VND,23152.9
Waemu,XOF,606.316
World,XDR,0.7329
Yemen,YER,1240.758
Zambia,ZMK,18.0967
Zimbabwe,ZWL,133.0936